accuracy,f1,auc,precision,recall,specificity,#leaves,#nodes,#rules,max_depth,avg_depth,features_used,imbalanced,fit_time,predict_time,model,problem,timestamp
0.9781818181818182,0.9761904761904762,0.9774952117471802,0.984,0.968503937007874,0.9864864864864865,32,63,31,5,5,18,False,644.2416951656342,0.0,BinOCT,BANKNOTE,2024-06-09 21:01:16.809542
0.6379310344827587,0.19230769230769232,0.5307422746097483,0.5555555555555556,0.11627906976744186,0.9452054794520548,4,7,3,2,2,3,False,603.1642723083496,0.0,BinOCT,ILPD,2024-06-09 21:11:20.083231
0.72,0.19230769230769232,0.5233197799569481,0.3333333333333333,0.13513513513513514,0.911504424778761,8,15,7,3,3,6,False,603.553560256958,0.0,BinOCT,TRANSFUSION,2024-06-09 21:25:24.566887
0.6666666666666666,0.735632183908046,0.6402116402116402,0.7111111111111111,0.7619047619047619,0.5185185185185185,8,15,7,3,3,7,False,602.6428036689758,0.0,BinOCT,LIVER,2024-06-09 21:35:27.287868
0.9166666666666666,0.9365079365079365,0.9048358208955224,0.9291338582677166,0.944,0.8656716417910447,32,63,31,5,5,26,False,624.2143862247467,0.0,BinOCT,TICTACTOE,2024-06-09 21:45:51.564743
0.9848010728654448,0.6304347826086957,0.7870278920896205,0.6904761904761905,0.58,0.994055784179241,8,15,7,3,3,7,False,692.9250383377075,0.0,BinOCT,MAMMOGRAPHY,2024-06-09 22:09:53.754243
0.7402597402597403,0.6153846153846154,0.705050505050505,0.6530612244897959,0.5818181818181818,0.8282828282828283,16,31,15,4,4,15,False,616.0031294822693,0.0,BinOCT,DIABETES_PIMA,2024-06-09 22:20:09.851112
0.973404255319149,0.2857142857142857,0.5833333333333334,1.0,0.16666666666666666,1.0,4,7,3,2,2,3,False,623.5938141345978,0.0,BinOCT,OILSPILL,2024-06-09 22:30:33.601180
0.8571428571428571,0.8571428571428571,,,,,16,31,15,4,4,15,False,605.0195660591125,0.0,BinOCT,SEEDS,2024-06-09 22:53:55.972304
0.9722222222222222,0.9722222222222222,,,,,8,15,7,3,3,6,False,604.8318312168121,0.0,BinOCT,WINE,2024-06-09 23:04:00.851
0.7441860465116279,0.7441860465116279,,,,,32,63,31,5,5,18,False,613.6741967201233,0.0,BinOCT,GLASS,2024-06-09 23:14:14.603831
0.7647058823529411,0.7647058823529411,,,,,16,31,15,4,4,15,False,605.1012306213379,0.0,BinOCT,ECOLI,2024-06-09 23:24:19.783254
0.9836065573770492,0.9824561403508771,0.9848484848484849,0.9655172413793104,1.0,0.9696969696969697,4,7,3,2,2,3,False,40.274306535720825,0.0,BinOCT,HEARTS,2024-06-10 00:05:25.443846
0.7384615384615385,0.7384615384615385,,,,,8,15,7,3,3,7,False,606.472948551178,0.0,BinOCT,STUDENT,2024-06-11 15:26:24.752852
0.6832386363636364,0.6744525547445256,0.6887026792936927,0.6209677419354839,0.7380191693290735,0.639386189258312,32,63,31,5,5,18,False,644.3430557250977,0.0,BinOCT,COMPAS,2024-06-11 15:43:56.960890
0.22839506172839505,0.22839506172839505,,,,,32,63,31,5,5,24,False,878.7118456363678,0.031249046325683594,BinOCT,NURSERY,2024-06-11 15:58:35.827394
0.9850379633765074,0.9850379633765074,,,,,4,7,3,2,2,2,False,256.12358951568604,0.0,BinOCT,LAW,2024-06-11 16:26:16.376314
