accuracy,f1,auc,precision,recall,specificity,#leaves,#nodes,#rules,max_depth,avg_depth,features_used,imbalanced,fit_time,predict_time,model,problem,timestamp
0.9636363636363636,0.9603174603174603,0.9628644392423921,0.968,0.952755905511811,0.972972972972973,6,11,5,5,3.333333333333333,3,True,0.8537466526031494,0.008011579513549805,GOSDT,BANKNOTE,2024-05-25 13:48:57.400419
0.6724137931034483,0.20833333333333334,0.5581395348837209,1.0,0.11627906976744186,1.0,4,7,3,3,2.25,2,True,0.7354862689971924,0.008312702178955078,GOSDT,ILPD,2024-05-25 13:48:58.426442
0.9154929577464789,0.9318181818181818,0.9053156146179402,0.9111111111111111,0.9534883720930233,0.8571428571428571,7,13,6,5,3.7142857142857144,6,True,1.083977460861206,0.008004903793334961,GOSDT,IONOSPHERE,2024-05-25 13:48:59.761193
0.76,0.05263157894736842,0.5135135135135135,1.0,0.02702702702702703,1.0,2,3,1,1,1.0,1,False,1.172250747680664,0.007996082305908203,GOSDT,TRANSFUSION,2024-05-25 13:49:01.263875
0.6666666666666666,0.7228915662650602,0.6534391534391534,0.7317073170731707,0.7142857142857143,0.5925925925925926,7,13,6,5,3.2857142857142856,4,True,0.7333967685699463,0.008007526397705078,GOSDT,LIVER,2024-05-25 13:49:02.216654
0.75,0.8048780487804879,0.7318208955223879,0.8181818181818182,0.792,0.6716417910447762,8,15,7,3,3.0,4,False,0.46431994438171387,0.008017539978027344,GOSDT,TICTACTOE,2024-05-25 13:49:02.974616
0.9649122807017544,0.9523809523809523,0.9580740255486406,0.975609756097561,0.9302325581395349,0.9859154929577465,7,13,6,4,3.2857142857142856,5,True,2.887216806411743,0.008282184600830078,GOSDT,WDBC,2024-05-25 13:49:06.197485
0.7272727272727273,0.625,0.7070707070707071,0.6140350877192983,0.6363636363636364,0.7777777777777778,5,9,4,4,2.8,3,True,1.6981449127197266,0.016667604446411133,GOSDT,DIABETES_PIMA,2024-05-25 14:03:45.945861
0.9680851063829787,0.625,0.9029304029304029,0.5,0.8333333333333334,0.9725274725274725,3,5,2,2,1.6666666666666665,2,True,1.21490478515625,0.009047269821166992,GOSDT,OILSPILL,2024-05-25 14:06:18.487413
0.8571428571428571,0.8571428571428571,,,,,4,7,3,3,2.25,3,True,1.438655138015747,0.0,GOSDT,SEEDS,2024-05-25 14:07:16.345445
0.8888888888888888,0.8888888888888888,,,,,4,7,3,2,2.0,3,False,0.8501899242401123,0.0,GOSDT,WINE,2024-05-25 14:07:17.485066
0.5813953488372093,0.5813953488372093,,,,,9,17,8,4,3.4444444444444446,5,True,27.96550989151001,0.0,GOSDT,GLASS,2024-05-25 14:07:45.840332
0.6176470588235294,0.6176470588235294,,,,,2,3,1,1,1.0,1,False,5.538097143173218,0.0,GOSDT,ECOLI,2024-05-25 14:07:51.764126
0.7992599444958371,0.6482982171799028,0.7513266178925252,0.6600660066006601,0.6369426751592356,0.8657105606258149,7,13,6,5,3.7142857142857144,4,True,1.46132493019104,0.05201220512390137,GOSDT,PHONEME,2024-05-25 14:09:16.630008
