accuracy,f1,auc,precision,recall,specificity,#leaves,#nodes,#rules,max_depth,avg_depth,features_used,imbalanced,fit_time,predict_time,model,problem,timestamp
0.9454545454545454,0.9392712550607287,0.9431793998723134,0.9666666666666667,0.9133858267716536,0.972972972972973,31,61,30,5,4.967741935483871,24,True,601.4426863193512,0.2542533874511719,FlowOCT,BANKNOTE,2024-06-08 13:56:42.569933
0.6293103448275862,0.0,0.5,0.0,0.0,1.0,4,7,3,2,2.0,3,False,601.71235871315,0.011669397354125977,FlowOCT,ILPD,2024-06-08 14:06:45.195146
0.7183098591549296,0.7777777777777778,0.6926910299003322,0.7446808510638298,0.813953488372093,0.5714285714285714,16,31,15,4,4.0,5,False,601.8630681037903,0.12441730499267578,FlowOCT,IONOSPHERE,2024-06-08 14:16:47.675348
0.7333333333333333,0.23076923076923078,0.5412580722315237,0.4,0.16216216216216217,0.9203539823008849,8,15,7,3,3.0,7,False,600.9350357055664,0.01363825798034668,FlowOCT,TRANSFUSION,2024-06-08 14:26:49.364645
0.6086956521739131,0.7032967032967034,0.566137566137566,0.6530612244897959,0.7619047619047619,0.37037037037037035,8,15,7,3,3.0,7,False,600.870240688324,0.004826545715332031,FlowOCT,LIVER,2024-06-08 14:36:50.778594
0.6875,0.7931034482758621,0.586865671641791,0.696969696969697,0.92,0.2537313432835821,13,25,12,5,4.0,10,True,601.9214489459991,0.027452945709228516,FlowOCT,TICTACTOE,2024-06-08 14:46:52.968680
0.7207792207792207,0.49411764705882355,0.6454545454545455,0.7,0.38181818181818183,0.9090909090909091,15,29,14,4,3.933333333333333,12,True,601.0156714916229,0.030508995056152344,FlowOCT,DIABETES_PIMA,2024-06-08 15:09:05.430236
0.9680851063829787,0.0,0.5,0.0,0.0,1.0,4,7,3,2,2.0,3,False,602.5119824409485,0.01629352569580078,FlowOCT,OILSPILL,2024-06-08 15:19:08.332009
0.8809523809523809,0.8809523809523809,,,,,15,29,14,4,3.933333333333333,14,True,602.2009122371674,0.01130366325378418,FlowOCT,SEEDS,2024-06-08 15:34:03.230201
0.9722222222222222,0.9722222222222222,,,,,8,15,7,3,3.0,6,False,600.8662619590759,0.006352424621582031,FlowOCT,WINE,2024-06-08 15:44:04.431863
0.5581395348837209,0.5581395348837209,,,,,24,47,23,5,4.666666666666667,20,True,601.0368406772614,0.017999887466430664,FlowOCT,GLASS,2024-06-08 15:54:05.768277
0.8382352941176471,0.8382352941176471,,,,,16,31,15,4,4.0,15,False,600.8446319103241,0.014001131057739258,FlowOCT,ECOLI,2024-06-08 16:04:07.048625
0.9836065573770492,0.9824561403508771,0.9848484848484849,0.9655172413793104,1.0,0.9696969696969697,4,7,3,2,2.0,3,False,205.08007550239563,0.007000446319580078,FlowOCT,HEARTS,2024-06-08 16:17:13.609926
0.7384615384615385,0.7384615384615385,,,,,8,15,7,3,3.0,7,False,601.3668801784515,0.013227462768554688,FlowOCT,STUDENT,2024-06-08 16:48:56.419611
0.9776486365668305,0.10714285714285714,0.5293141289437586,0.5,0.06,0.9986282578875172,8,15,7,3,3.0,7,False,602.5405447483063,0.10934734344482422,FlowOCT,MAMMOGRAPHY,2024-06-09 18:37:47.428208
0.6732954545454546,0.6525679758308157,0.6749711969799728,0.6189111747851003,0.6900958466453674,0.659846547314578,27,53,26,5,4.814814814814815,18,True,605.1560173034668,0.06250381469726562,FlowOCT,COMPAS,2024-06-09 19:38:58.478193
0.9850379633765074,0.9850379633765074,,,,,4,7,3,2,2.0,1,False,603.8374977111816,0.25044965744018555,FlowOCT,LAW,2024-06-08 17:39:47.465538
0.9649122807017544,0.9545454545454546,0.9672453324598755,0.9333333333333333,0.9767441860465116,0.9577464788732394,16,31,15,5,5,26,False,712.490375995636,0.11629390716552734,FlowOCT,WDBC,2024-05-26 01:36:03.644722
0.7354301572617946,0.3125,0.5793832368646143,0.6372549019607843,0.2070063694267516,0.9517601043024772,16,31,15,5,5,4,False,788.5811245441437,0.18764615058898926,FlowOCT,PHONEME,2024-05-26 02:21:18.008123
