accuracy,f1,auc,precision,recall,specificity,#leaves,#nodes,#rules,max_depth,avg_depth,features_used,imbalanced,fit_time,predict_time,model,problem
0.9745454545454545,0.9721115537848606,0.9735582038731646,0.9838709677419355,0.9606299212598425,0.9864864864864865,10,19,9,4,3.5,3,True,11.683415412902832,0.47089529037475586,OCT,BANKNOTE
0.6293103448275862,0.0,0.5,0.0,0.0,1.0,1,1,0,0,0.0,0,False,3.692584991455078,0.0,OCT,ILPD
0.8873239436619719,0.9069767441860465,0.8820598006644519,0.9069767441860465,0.9069767441860465,0.8571428571428571,3,5,2,2,1.6666666666666667,2,True,4.3523945808410645,0.10624504089355469,OCT,IONOSPHERE
0.7866666666666666,0.4482758620689655,0.64027744558718,0.6190476190476191,0.35135135135135137,0.9292035398230089,5,9,4,4,2.8,3,True,2.5932066440582275,0.0,OCT,TRANSFUSION
0.6521739130434783,0.75,0.5952380952380953,0.6666666666666666,0.8571428571428571,0.3333333333333333,3,5,2,2,1.6666666666666667,2,True,1.8352513313293457,0.0,OCT,LIVER
0.8802083333333334,0.9138576779026217,0.8387462686567164,0.8591549295774648,0.976,0.7014925373134329,18,35,17,5,4.333333333333333,12,True,9.891925811767578,0.02222752571105957,OCT,TICTACTOE
0.9649122807017544,0.9512195121951219,0.9534883720930232,1.0,0.9069767441860465,1.0,5,9,4,3,2.4,4,True,5.788884878158569,0.0019936561584472656,OCT,WDBC
0.9888243182834153,0.7058823529411765,0.798856881572931,0.8571428571428571,0.6,0.9977137631458619,10,19,9,5,4.1,5,True,39.21909427642822,0.018557310104370117,OCT,MAMMOGRAPHY
0.7727272727272727,0.6601941747572816,0.7383838383838384,0.7083333333333334,0.6181818181818182,0.8585858585858586,4,7,3,2,2.0,2,False,4.509031057357788,0.003528118133544922,OCT,DIABETES_PIMA
0.973404255319149,0.6666666666666666,0.9056776556776557,0.5555555555555556,0.8333333333333334,0.978021978021978,3,5,2,2,1.6666666666666667,2,True,12.931695222854614,0.020133256912231445,OCT,OILSPILL
0.845513413506013,0.7418856259659969,0.8215397902324384,0.7207207207207207,0.7643312101910829,0.878748370273794,26,51,25,5,4.769230769230769,5,True,41.086634397506714,0.015622377395629883,OCT,PHONEME
0.8809523809523809,0.8809523809523809,,,,,4,7,3,2,2.0,2,False,1.0741078853607178,0.0,OCT,SEEDS
0.9444444444444444,0.9444444444444444,,,,,6,11,5,3,2.6666666666666665,3,True,0.8161728382110596,0.026322126388549805,OCT,WINE
0.8372093023255814,0.8372093023255814,,,,,11,21,10,5,3.727272727272727,7,True,1.7935960292816162,0.003077983856201172,OCT,GLASS
0.7941176470588235,0.7941176470588235,,,,,5,9,4,3,2.4,3,True,1.969285249710083,0.0063991546630859375,OCT,ECOLI
1.0,1.0,1.0,1.0,1.0,1.0,8,15,7,4,3.125,7,True,148.71420216560364,0.18447422981262207,OCT,MUSHROOM
0.8074339453649798,0.7985004686035614,0.8070546939930329,0.7985004686035614,0.7985004686035614,0.8156089193825042,21,41,20,5,4.571428571428571,11,True,239.4268159866333,0.11850953102111816,OCT,BANK_MKT
0.9836065573770492,0.9824561403508771,0.9848484848484849,0.9655172413793104,1.0,0.9696969696969697,3,5,2,2,1.6666666666666667,2,True,1.7260189056396484,0.17606782913208008,OCT,HEARTS
0.968939393939394,0.8982630272952854,0.9271637690084799,0.9329896907216495,0.8660287081339713,0.9882988298829883,29,57,28,5,4.896551724137931,26,True,557.7731869220734,0.3160417079925537,OCT,MUSK
0.8406940063091483,0.8815943728018757,0.8089830139372822,0.8487584650112867,0.9170731707317074,0.7008928571428571,19,37,18,5,4.578947368421052,7,True,310.41116523742676,0.07332134246826172,OCT,MAGIC
0.7384615384615385,0.7384615384615385,,,,,6,11,5,3,2.6666666666666665,2,True,9.661914348602295,0.011991500854492188,OCT,STUDENT
0.8618148318747121,0.6593489780469342,0.7569772441157658,0.8132586367880486,0.5544239338001273,0.9595305544314043,21,41,20,5,4.571428571428571,9,True,1155.7364661693573,0.6918573379516602,OCT,ADULT
0.6761363636363636,0.6752136752136753,0.6842208476667511,0.609254498714653,0.7571884984025559,0.6112531969309463,6,11,5,3,2.6666666666666665,3,True,13.226087808609009,0.00800323486328125,OCT,COMPAS
0.785108024691358,0.785108024691358,,,,,10,19,9,5,4.1,5,True,36.95887112617493,0.0190579891204834,OCT,NURSERY
0.8211666666666667,0.4643035446829755,0.6530728395745813,0.6739130434782609,0.3541507996953541,0.9519948794538085,8,15,7,4,3.125,7,True,479.18026638031006,0.22391700744628906,OCT,DEFAULT
1.0,1.0,,,,,6,11,5,4,3.0,1,True,30.347533464431763,0.030620574951171875,OCT,LAW
0.8537414965986394,0.044444444444444446,0.5030165912518852,0.16666666666666666,0.02564102564102564,0.9803921568627451,3,5,2,2,1.6666666666666667,2,True,25.260956525802612,0.018735170364379883,OCT,ATTRITION
0.8796786874038626,0.8796786874038626,,,,,29,57,28,5,4.931034482758621,13,True,5397.029279708862,0.9257142543792725,OCT,SENSORLESS
0.9954296906879948,0.9971206745848116,0.9959055919414052,0.9991499008217626,0.9950996741668163,0.996711509715994,18,35,17,5,4.388888888888889,3,True,3225.6211166381836,0.1872708797454834,OCT,SKINNONSKIN
